geo,name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
cpv,Cape Verde,,,,,,,,,,,,,,,,,,,,,18.56005,15.77265,12.58012,12.05682,11.85649,12.98961,13.63127,17.64634,17.69673,16.21087,14.3907,13.39301,11.7942,10.13643,12.85895,13.68057,12.44848,11.68065,10.94725,13.64337,12.87178,11.41577,10.35147,10.1437,9.86347,9.00119,8.31871,6.09469,5.31578,6.02632,5.82909,5.39925,5.79089,5.82359,5.73507,6.40829,6.31352,5.37534,4.52277,4.43736,6.19133,5.97147,4.95405,4.63422,4.69638
cri,Costa Rica,26.35203,25.86624,25.8269,24.46389,24.56903,23.52043,23.18114,23.20076,23.27813,23.14997,22.51973,20.42455,20.09421,20.22751,19.41933,20.33848,20.37619,21.88548,20.41373,18.5014,17.80464,23.01905,24.49472,21.99746,21.20791,18.86663,20.89774,18.07064,17.94865,17.22039,15.78742,11.94456,11.90015,11.82823,12.31997,12.75813,12.1025,12.50309,12.61897,11.10969,9.24882,8.37954,8.42775,8.84008,8.85241,8.62224,8.42983,7.91531,6.97696,7.04963,6.48519,5.59987,5.13084,4.78335,4.88788,4.74911,4.91436,4.69978,4.48383,4.20205,4.34423,4.36671,4.14007,3.80048,3.56243
cub,Cuba,,,,,,,,,,,12.12136,12.11904,12.11891,12.12324,12.1326,12.11299,12.10747,12.11828,12.14488,12.17936,12.01497,12.07983,12.17233,12.27792,12.35176,11.19302,12.40412,12.63483,12.80586,12.72097,13.04055,12.77595,12.42662,9.57115,7.89981,6.8833,7.13344,7.18681,6.11742,6.12418,6.60126,6.37957,5.94573,5.74521,5.47444,4.36365,3.40501,3.9081,3.81704,3.93041,3.61429,3.60487,3.8501,3.92492,3.93771,3.83575,3.93834,3.80018,3.78237,3.56733,2.76195,0.88194,0.80067,1.30701,
cyp,Cyprus,,,,,,,,,,,,,,,,15.71984,15.90296,13.212,10.91807,10.24135,9.58832,9.25799,9.26919,7.90006,8.94272,7.48887,7.32713,7.43175,7.17471,6.92986,6.85918,6.19135,5.72368,5.61273,5.06752,4.77613,4.57821,3.92034,4.33453,3.89894,3.64726,3.8608,3.78827,3.3529,3.08333,2.73853,2.27598,2.02353,2.09331,1.98882,2.05766,2.14532,2.00128,2.03634,1.84488,1.86798,2.14376,1.85263,1.71814,1.74821,1.82534,1.5025,1.17579,1.17908,1.18011
cze,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2235,4.24074,4.00525,3.86905,3.46667,3.48548,3.19661,3.23024,3.18772,2.64625,2.43103,2.40804,2.28126,2.16293,2.08872,1.92037,1.75886,1.52258,1.96393,2.23163,2.34758,2.3927,2.25893,2.1481,2.10546,1.96856,1.89152,1.94399,1.75887,2.07635,1.73052,1.49926
deu,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06999,0.98884,0.97784,0.99335,1.03225,1.06717,1.0361,0.97745,0.96089,0.99617,1.08334,0.90134,0.82934,0.94887,0.72606,0.7166,0.82208,0.8369,0.67018,0.77575,0.92434,0.91105,0.92687,0.91539,0.70883,0.73033,0.86052,0.74308,0.83369,0.72889,0.74218,1.00396,0.84199,0.82629
dji,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19392,1.22411,1.05901,0.99559,1.29424,1.41671,1.51935,1.99744,3.00716,2.63102,2.49008,2.58339
dma,Dominica,,,,,,,,,,,,,,,,,,24.68057,25.8352,22.56619,21.46029,20.87536,19.62078,18.76183,18.27027,18.37941,20.11747,19.75718,18.87135,15.49084,16.34244,15.68188,14.82214,14.16008,14.40579,12.16659,12.97186,12.54416,12.06534,12.13732,11.904,11.21621,10.62841,11.25144,11.53932,11.9147,10.95003,10.99321,12.35793,13.2922,12.16711,13.13987,12.52847,14.0711,13.58109,13.54139,13.50041,11.74378,9.6477,10.1167,12.25291,14.01511,12.94382,12.10972,12.22432
dnk,Denmark,,,,,,,6.68924,5.75494,5.40425,5.62153,4.60433,4.55777,4.78618,5.27838,5.1616,4.42035,4.30407,4.67039,4.71237,3.97187,4.09268,4.35895,4.67794,4.05223,4.67206,4.23329,3.89189,3.45881,3.16231,3.50423,3.28074,3.0166,2.77048,2.66669,2.58125,2.83085,2.76584,2.61358,2.12315,1.92044,2.14953,2.30981,1.75485,1.587,1.59682,1.13056,1.14681,1.17038,0.84168,0.80695,1.18844,1.26833,1.61758,1.25664,1.35343,0.90832,0.9288,1.25986,0.99704,1.24123,1.33752,0.9895,0.78959,0.75671,0.74243
dom,Dominican Republic,,,,,,23.24063,21.9128,20.33243,20.32249,21.30028,23.23797,22.23822,20.57965,22.22791,22.15196,21.47144,19.04846,20.06714,18.72043,18.67317,19.75951,17.85407,17.06704,16.10524,16.51716,13.10041,17.36715,11.86863,15.7471,13.82778,13.42282,12.50573,12.01284,10.7815,9.99449,9.81478,9.1934,9.1443,8.99181,7.82103,6.71834,6.99752,6.80512,6.69385,7.02047,7.21194,6.85872,6.51157,6.27099,6.01021,5.87493,5.41362,5.13893,4.99411,4.8378,5.05883,5.02705,4.83761,4.57147,4.32512,4.52253,4.21568,4.15372,4.29425,4.45398
dza,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10698,8.39505,8.88618,8.41303,8.45672,7.72217,6.55927,6.366,6.32602,5.54975,8.01122,7.53172,7.08353,8.02697,9.12007,9.40707,10.53279,11.06831,11.03188,11.24383,11.47918,12.83417,11.23543,10.61318,13.08678,
